1.000 V1000 arrived at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
1.300 V1001 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ ], 2:Q2 [ ] ]
1.400 TG456 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ V1001 ], 2:Q2 [ ] ]
1.500 TG456 picked up V1001 at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ ], 2:Q2 [ ] ]
1.700 TG123 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ ], 2:Q2 [ ] ]
1.700 V1001 admitted VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
1.800 TG123 picked up V1000 at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
2.000 V1002 arrived at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
2.200 V1000 admitted VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ V1002 ] ]
2.300 TG123 picked up V1002 at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
2.400 V1003 arrived at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
2.500 V1002 admitted VC: [ 0:Q0 [ ], 1:Q1 [ V1003 ], 2:Q2 [ ] ]
2.600 TG123 picked up V1003 at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
2.800 V1003 admitted VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
